,0,1,2
25,5 star rating,"Aug 3, 2022","Today I used the MTA Mobile Van Service because my Senior Metro Card stopped working. The card is an online automatically refill because they have my credit card on file. When my trips reduce my account to $10 balance they bill my credit card $25. I can't refill it at the subway. You can call 511 for Metro Card problems and the MTA representative will tell you where the van will be located near you. I also found the full list of locations online at the website. I decided to walk to 78th on York today because the weather was not too warm. At first the line looked intimidating but within 15 minutes I was next to go inside. The employees are all definitely friendly,  professional, and people persons! I gave the one employee a laugh when he asked the problem and I said my Metro Card is broken. Once inside the really nice employee asked for the card and a photo ID. He said he would need to call to verify the balance on my card and then he would have the ability to take possession and give me a temporary Senior Card. He then also filled out a form that was multiple copies with all my information. I received one as my receipt. Then he said if I had cash I would be able to put money onto my temporary card right there or I could wait and go to the subway to put money on it. I took advantage of giving him enough money for Five Trips. The temporary card is good until September 30, 2022. He assured me my new card would come by then. If not I have to get another temporary card. He also advised me when I get the new card to use up the balance on the temporary first. When they put your cash on the card they show you the balance on it using their scanner. I'm so glad they have this service. The van is at the 92 Street Y the first Thursday each month 10-12. If tomorrow wasn't going to be so hot I would use that location. If I have problems in the future I'll know what to do now. They really made me feel like a valued customer and they have the drill down so it's as smooth as a babies butt. I'm recommending!"
26,5 star rating,"Sep 4, 2019","I cannot think of a better review for my NUMBER 1300 than the MTA. Everyone can complain all you want. Look at the numbers people! Look at the number of buses and trains that operate daily on a 24 hour Seven day 365 day basis. Look at the number of riders. Look at the great improvement like the Second Avenue Q Train. I survived the construction! The employees are neat and clean in their uniforms. I spoke to two this morning. They are on the job in shifts. Five in the morning to 1pm and around the clock. They are friendly and responsive when you are in need. I know some subway stations are old and dirty. I see the homeless. What do you expect with over 8.5 million people in the city? I'm paying a lot of tax. Yes there are things that I feel my money is wasted on. I can definitely say MTA is not one of them. Come visit my city. Ride the bus and train. Enjoy the sights. Breathe in the fine NYC Air (hahaha). When you do, please remember the vast number of hard working employees that are making all of this possible on a daily basis. Tell them 'Thanks' if you have the opportunity. They really do appreciate hearing it from YOU!"
27,1 star rating,"Aug 26, 2023","MTA services sucks, they're run the trains on weekends saying they fixing signals, but doesn't seems to be true, tracks are empty and nobody working. And when really happens trains are soooo unsincronized trains take forever to certain destination whenever you get off to take train was express the other one cross tracks closes doors leaving hundreds of people behind that needed  get to their destinations, why MTA ask money for? There is no improvements, services still a shit always. The Mafia MTA keeps this improvements going on and on because they wanna always ask for money and raise fairs, if they modernize  everything they can't still more money."
28,1 star rating,"Oct 3, 2023",is simply shitlate everydaystops for no reasonweekend or weekdays makes no differencedirtydangerousprice increaseand right now i've been on the train for 45 minutes and made 3 stops.Fuck MTA
29,1 star rating,"Sep 19, 2023","Why do you announce L train (Union Square) to 8ave if it's not going that way? Google maps says it's running. I hear announcements on the station that it's running. Then it arrives, they tell us it's last atop and it will go to Brooklyn. What on earth?????"
30,2 star rating,,the #2 and #5 line is the worse.they're unorganized and have absolutely zero regards for new york riders. every time you're on this line you're in danger and will be home 1 hour added to your regular commute eta. i tried not to blame them but seeing so many workers milking it. where theres no need pissed me off. mta is a bunch of privileged union workers that drive suvs and dodge chargers. the 2 line is the worst of all lines. ps mta get it together before you keep hiking the price.. like wtf is a booth attendant doing?
31,Filter reviews by 1 star rating,,the #2 and #5 line is the worse.they're unorganized and have absolutely zero regards for new york riders. every time you're on this line you're in danger and will be home 1 hour added to your regular commute eta. i tried not to blame them but seeing so many workers milking it. where theres no need pissed me off. mta is a bunch of privileged union workers that drive suvs and dodge chargers. the 2 line is the worst of all lines. ps mta get it together before you keep hiking the price.. like wtf is a booth attendant doing?
32,1 star rating,"Sep 21, 2023",the #2 and #5 line is the worse.they're unorganized and have absolutely zero regards for new york riders. every time you're on this line you're in danger and will be home 1 hour added to your regular commute eta. i tried not to blame them but seeing so many workers milking it. where theres no need pissed me off. mta is a bunch of privileged union workers that drive suvs and dodge chargers. the 2 line is the worst of all lines. ps mta get it together before you keep hiking the price.. like wtf is a booth attendant doing?
33,1 star rating,"Aug 31, 2023","There's a lovely invention called a ""watch"" - None of the Suffolk Transit drivers or LIRR conductors semen to have heard of one. Trains are late which makes me miss my bus or vice versa, miss a transfer bus etc. Some if us have places we need to be at specific times, I'd think Transit operators would be the prime example but apparently no."
34,1 star rating,"Aug 18, 2023","Today I took the B train to get to work and I couldn't seat down because all the seat were completely wet because of the rain, the escalators at 34th street wasn't working and a lot of people had to go up to the platform for the Q train, how the MTA is increasing the fare when the service is worst every day, this is increíble.​"
35,1 star rating,"Apr 11, 2023","On 3/30/23 I experienced a transit delay where my train did not come to the station for over 30 minutes. The station displays were not working and the booth operator did not provide us with any information/updates on the situation. It was FREEZING that day so I ended up driving to work rather than continue to wait in the station.Now the MTA is denying my transit delay application with the response ""We have researched your request. Our records indicate that the trip you took did not experience a delay as you described."" Really!?! What kind of research did you do?! I want to know, because you came to the wrong results.The 7:02 AM train DID NOT COME!!!"
36,4 star rating,"Oct 6, 2020","The MTA is kinda like the MET. Both are overpriced, both are now catering to the rich, and both smell funky.If you're looking for the school meeting then you're looking for the PTA not the MTA.New York transportation is something special. It's been around for a long time and in some regards - okay in many regards - it looks like it's been around for a long time. Some of the employees aren't friendly, and some of them are better. It services soooo many people from so many places in so many neighbourhoods, and it's pretty impressive. The network is pretty vast and endless. I like it but I don't like all the price hikes.Not to be confused with MBA, which you probably have if you're Yelping. Lol.But remember... MTA = Might Take Ages."
37,1 star rating,"Aug 5, 2023","Unsafe, unclean etc etc. all's workers got nasty attitudes when you ask for directions. They force you to take a shuttle bus in between stations on weekends and make you pay twice. Shit is ass. On behalf of of nyc smd."
38,1 star rating,"Jul 26, 2023",The trains and buses are unreliable and very dangerous. Taxis are much safer and reliable
39,1 star rating,"Jul 19, 2023",Buses are always running late and are dangerous. Not worth the $3. Uber and Lyft are far more safer and far more reliable. This is a rogue city with a rogue mayor. God bless you all and God protect you and your family because this mayor won't.
40,1 star rating,"Jan 28, 2023",it took $11.00 from my debit card and showed balance $0.00 on metro card. The turnstile did not let me go bc of the balance
41,1 star rating,"Jul 26, 2023","So dissapointing every day, N and W trains never work. They took us all out at Lexington Ave and couldn't go to Queens. And they want to raise the fair, shame on them"
42,1 star rating,"Dec 8, 2021","If you're thinking of moving to NYC then here's my opinion: Rude employees with no comfortable rides. Constant delays on most trains.  Crowded, Dirty, and jerky train rides. Homeless people laying and sleeping in the stations and on the trains. But what other options are there?  Driving between boroughs on work days is out of the question because traffic in the  busiest city in the country is ridiculous.  So you're stuck with few options other than with this uncomfortable mode of transportation if you do decide to move here.  GOOD LUCK!!"
43,2 star rating,,"I am absolutely mortified. Today I had lost my transfer metro card and needed to transfer to the b13 bus at dekalb ave and wycoff ave. I feel completely violated that a bus driver looked me up and down and asked if I could think of any possible way to pay for my fare. I said no and he replied ""that's a shame cuZ I really want to help a beautiful girl like you, "" as he staring at my chest instead of my eyes... I immediately got off the bus and felt disgusted... I'd rather walk then be subjected to being sexually propositioned for $2.75!! A simple "" no ma'am you need fare"" would have been a sufficient answer. The look in his eyes and tone if his voice was behind creepy!! Come on MTA you can do better than this type of behavior !!"
44,Filter reviews by 1 star rating,,"I am absolutely mortified. Today I had lost my transfer metro card and needed to transfer to the b13 bus at dekalb ave and wycoff ave. I feel completely violated that a bus driver looked me up and down and asked if I could think of any possible way to pay for my fare. I said no and he replied ""that's a shame cuZ I really want to help a beautiful girl like you, "" as he staring at my chest instead of my eyes... I immediately got off the bus and felt disgusted... I'd rather walk then be subjected to being sexually propositioned for $2.75!! A simple "" no ma'am you need fare"" would have been a sufficient answer. The look in his eyes and tone if his voice was behind creepy!! Come on MTA you can do better than this type of behavior !!"
45,1 star rating,"Feb 24, 2023","I am absolutely mortified. Today I had lost my transfer metro card and needed to transfer to the b13 bus at dekalb ave and wycoff ave. I feel completely violated that a bus driver looked me up and down and asked if I could think of any possible way to pay for my fare. I said no and he replied ""that's a shame cuZ I really want to help a beautiful girl like you, "" as he staring at my chest instead of my eyes... I immediately got off the bus and felt disgusted... I'd rather walk then be subjected to being sexually propositioned for $2.75!! A simple "" no ma'am you need fare"" would have been a sufficient answer. The look in his eyes and tone if his voice was behind creepy!! Come on MTA you can do better than this type of behavior !!"
46,1 star rating,"Sep 26, 2021","Can't think of anything good to say about the MTA. The subways are slow, unreliable, and sometimes dirty. Possibly also unsafe if you believe media reports. The subway costs twice as much to operate as similar systems in Europe and even some parts of the US. Multiple investigations (by the New York Times, Bloomberg, and the former governor) have shown that overtime fraud is rampant. MTA workers claim overtime pay and leave work early. Even if you don't use mass transit, you're probably paying the MTA hundreds of dollars a year in the form of at least four different taxes."
47,1 star rating,"Jul 20, 2022",Some kid or homeless guy... either or pulls the emergency break..on a Brooklyn bound L train. For 30Minutes both train lines where suspended even though there was nothing wrong. I don't exactly know why we as New Yorkers put up with bs like this.
48,1 star rating,"Jun 24, 2023",It should not take us 2 hours to get home when it's usually a 22 min ride it's insane disgusting and disrespectful to other people time and responsibility you hoes got one job to do and that's drive a damn train
49,1 star rating,"Jun 15, 2023",I'm beyond super late paying all this money for service that's not even worth it we have it by default 11pm left my house didn't get on a train till 1145 at utica ave thanks for making me late for work even though I left home earlier than usual.
50,1 star rating,"Aug 28, 2023","mta can go straight to hell raising fares and the trains are either late, delayed, or canceled. the nerves of them."
51,1 star rating,"Jun 8, 2023",MTA in NYC is unpredictable and unreliable. The fare does not match the quality and the service they should give New Yorkers.  MTA needs to do better and probably has some training in Europe train facilities for better improvement as NY is one of the greatest City in the world.
52,1 star rating,"Aug 18, 2023","Worst POS bus schedule on the entire Earth. Don't ever expect the bus to be on time it'll never happen no matter what time or day it is. The sites and map apps are the worst they never tell you when the bus will come. And if they do it'll tell you it's coming in 10,7,5,2,1 and then it'll say it's departing now. And the whole time your standing there like a penis while the bus never comes. Or sometimes it'll say the bus is 7 minutes away so your standing at the bus stop like a hooker waiting to get picked up expecting it to actually come in 7 min because the cocksucking site says it will then it never shows up. very unreliable, this is what the prices are going up for? For us to be willing to pay and you not being able to hire enough drivers to drive the bus when it's there only job? Hire more people then. Thanks a lot never trust the MTA save yourself time you'll never get back, and buy a car or a bike."
53,1 star rating,"Aug 14, 2023","all the people who work for mta are very greedy. they raise the subway fare almost every year. the subways are not running on schedule as they should, and they always have delays. the buses are even worse because you have to wait for them forever, and they go slowly because of the red lights. on august 20 the subway and bus fare will be 2.90, which is ridiculous because their service is lousy. the workers always demand more money because they are never satisfied with their salaries. why do they need so much money? they probably want a beautiful funeral. they also think that they will take their money to the grave with them. good luck with that, because that has not been invented yet!!"
54,1 star rating,"Nov 26, 2022",I really really hate taking the subway trains because they keep doing constructions every day now. Now they are doing constructions on weekdays too. The busses are even worse because you have to wait for them   forever. One day I was waiting for the bus for 40 minutes and I thought that it will never come. This nightmare has to stop because I have no patience waiting for subway trains and busses all day long. There is also a big problem with 511 representatives because they are giving me the wrong directions on purpose. I don't call them anymore because I don't want to waste my precious time on these liars. I don't understand why MTA raises the subway fare every year   I refuse to pay a lot of money for this lousy service! DROP DEAD AND GO TO HELL!  AMEN                MARINA MANASHIROVA
55,1 star rating,"Aug 11, 2022",Really horrible service...I wish I can give 0 star...I understand that problems happens with any company...but it seems that they don't care...now I am waiting for the 6 train that took forever and when one came in it didn't stop... nobody explained what's going on...2 days ago I spent like 3 hours under the awful dirty ground where there is no AC...nobody explaining or caring about the customers...they take money and they don't bother to listen to what needs and supposed to be done
56,2 star rating,,"So instead of pulling out a Metrocard,now senior citizens and other reduced fare customers can open a purse or backpack or whatever,pull out  a wallet,open that up and get out the credit card  ,use a credit card  to get through the turnstyle -and it better be the one you register for the OMNY card with-or pull out a phone and use that???Stupid idea even for the MTA. What if you don't have the ""right""kind of phone or a credit card that the MTA deems acceptable?Or no credit card or phone at all?Do any of these MTA executives live in the real world  with people that actually take subways and buses or are they just in their city cars? OMNY should be a choice-NOT a mandate and a dangerous one at that."
57,Filter reviews by 1 star rating,,"So instead of pulling out a Metrocard,now senior citizens and other reduced fare customers can open a purse or backpack or whatever,pull out  a wallet,open that up and get out the credit card  ,use a credit card  to get through the turnstyle -and it better be the one you register for the OMNY card with-or pull out a phone and use that???Stupid idea even for the MTA. What if you don't have the ""right""kind of phone or a credit card that the MTA deems acceptable?Or no credit card or phone at all?Do any of these MTA executives live in the real world  with people that actually take subways and buses or are they just in their city cars? OMNY should be a choice-NOT a mandate and a dangerous one at that."
58,1 star rating,"Sep 2, 2022","So instead of pulling out a Metrocard,now senior citizens and other reduced fare customers can open a purse or backpack or whatever,pull out  a wallet,open that up and get out the credit card  ,use a credit card  to get through the turnstyle -and it better be the one you register for the OMNY card with-or pull out a phone and use that???Stupid idea even for the MTA. What if you don't have the ""right""kind of phone or a credit card that the MTA deems acceptable?Or no credit card or phone at all?Do any of these MTA executives live in the real world  with people that actually take subways and buses or are they just in their city cars? OMNY should be a choice-NOT a mandate and a dangerous one at that."
59,1 star rating,"Feb 19, 2023",I am very concerned with how fast the 4 train goes around curves on the high platform. I take this train daily and they speed up on curves. Creates anxiety and they need to slow down. This is not a game. Do your job correctly and follow the rules.
60,1 star rating,"Jan 19, 2023",Every morning the express A is stuck supposedly behind trains. The local makes it to my destination before the express. Do not dare raise the cost of riding for such undependable service.
61,2 star rating,"Dec 17, 2022","Dirty, inefficient and the only real way to get around the city and this is from someone who traveled the various lines for years when we lived and worked up north. It is getting expensive but still less than a taxi. Don't even think about getting on one of the awful busses. I only gave it a second star because it is quick (most of the time) and less costly than other modes of transport in the city. Fogettabout it on weekends when services are rerouted and disrupted. You have no idea whee you are going and how to get there since no one works in the boots anymore. An antiquated system for use by way too many people it has no future but to get worse"
62,3 star rating,"Sep 14, 2019","The MTA team here are effective and efficient, if lacking in enthusiasm. I'm one of those types that says thank you, yes sir, and so forth when dealing with customer service so I present every opportunity to the entity to hit a home run with me, even if the issue is annoying.My MTA card didn't work suddenly and the agent at the station suggested I come here to get it serviced. Turns out they do not offer a replacement, only a refund. Not only that, the refund is a check or a credit on the card you used to purchase. The gentleman at the registration gets your info and sorts people out before grabbing a ticket. Decent guy but a bit rude. The guy at the customer service desk was even more curt and wasnt really trying to help me. Once I explained I was from out of town he offered the credit charge back. That's should've been offered as an option from the getgo.Overall, it was quick (less than 30) and efficient. I'll take that, especially for a govt agency."
63,4 star rating,"Sep 12, 2019","The MTA team here are effective and efficient, if lacking in enthusiasm. I'm one of those types that says thank you, yes sir, and so forth when dealing with customer service so I present every opportunity to the entity to hit a home run with me, even if the issue is annoying.My MTA card didn't work suddenly and the agent at the station suggested I come here to get it serviced. Turns out they do not offer a replacement, only a refund. Not only that, the refund is a check or a credit on the card you used to purchase. The gentleman at the registration gets your info and sorts people out before grabbing a ticket. Decent guy but a bit rude. The guy at the customer service desk was even more curt and wasnt really trying to help me. Once I explained I was from out of town he offered the credit charge back. That's should've been offered as an option from the getgo.Overall, it was quick (less than 30) and efficient. I'll take that, especially for a govt agency."
64,1 star rating,"Dec 21, 2022",Worst. absolute worst. everyone should start finding other ways to get around in NY. Stop paying these thieves our hard earned money...
65,2 star rating,"Jan 21, 2020","Crap. It's nice being able to not drive but this can be frustrating. The MTA is the local subway  system in NYC. Not all of it is bad. Of course, much more of it sucks like shit.  First the good. It has a way to get unlimited rides. There's weekly and monthly passes that you can use countless times. Bad things now. The passes are made of a tough paper, which if you're not careful enough, can get ruined. In DC they have plastic cards. Why not here? If you're extra careful like me you'll put the cards where they can't get bent. This doesn't always prevent problems. Sometimes the cards just won't work for no reason at all. That's enough about the cards. A lot more is bad. The thing getting the most complaints is the poor service. If you're paying for this system through not just your card purchases but also through your paychecks, it should give you reliable service as in trains not being delayed and other annoyances. Trains routinely have many problems.  How about fixing that air conditioning or heat. The booth workers also seem to have surliness as part of their job requirements. Many stations are really fucking gross. Walls are covered in black mold or piss stains. It still is the best transportation available. Much better than paying for outrageous cab fare. That's not saying much for the subway though."
66,1 star rating,"Nov 13, 2022",Busses don't stop at the bus stops with signs. No other city in the world has bus stops where the bus doesn't actually stop.
67,1 star rating,"Jun 3, 2023",customer service isn't for everyone. the mta staff most not all are rude and has disgusting behavior. today on 6/3/23 at the Whitlock Ave station located in the Bronx the woman at the token booth was absolutely rude bad attitude. instead of answering the question in a professional manner her face scowled and spoke to me rudely. I told her I didn't see the sign and I was looking at the mta app. I proceedEd to tell her she could've spoken in a better tone and I gave her a thumbs up. too many are too comfortable because they feel invincible that they can't lose their job. humbleness will do a world good cus tomorrow God can change things for anyone!
68,1 star rating,"Jan 6, 2020","Ah, MTA - you take one of the world's greatest cities and make transport so bad that it wouldn't even be fit for purpose in the smallest of UK town's.The MTA really makes me grateful for the transportation systems we have in the UK even if they can be pretty shoddy in their own rights, it makes Northern Rail look like the Hogwarts Express for goodness sake.The subway might be one of the fastest ways to get around town, but I really don't understand - Why do they have different numbered routes and different colours with no obvious signs to which goes where- Why are stations so dirty and smelly?- Why are staff at stations generally rude?- Why can't you pay with contactless with a similar system to London's Oyster Card? When travelling in the Big Apple you pay one fee regardless of going one stop or several, this is compared to London's zonal system where you can travel in central London zones 1 and 2 for £7 per day (even international tourists), this means you can hop on and off all day on buses, trams or the tube, meanwhile MTA just charges you per journey.- Why is disabled access so poor? There is only one gate at most stations for prams/wheelchairs which requires a special disabled MTA ticket otherwise you could be stranded trying to get in/out which makes no sense.I also noticed the buses seemed so old too, spraying harmful smoke everywhere and the overcrowded, dirty, old subway trains weren't much better either.The transit system of NYC and the only way to get across the city and all of its' boroughs (buses, subway) is just so shockingly poor. I'm not sure how the system works in the states, but if Transport for London operated to such standards they'd be mass riots and something would be done and I think it's just unacceptable how they've been able to carry on with sub-par services while still charging high costs to get around.1*"
69,2 star rating,,"Terrible service, always late, never on time, full of homeless, weekends and evenings are impossible, they been in construction for years and every time is worst"
70,Filter reviews by 1 star rating,,"Terrible service, always late, never on time, full of homeless, weekends and evenings are impossible, they been in construction for years and every time is worst"
71,1 star rating,"Apr 13, 2022","Terrible service, always late, never on time, full of homeless, weekends and evenings are impossible, they been in construction for years and every time is worst"
