,0,1,2
10,1 star rating,"Aug 23, 2021",Bus #8549 driver line 251 palm and Seville is lost!!!! And she had no clue! We are on Central and Washington! She was to turn left Santa Fe! We had to tell her! We told her to go to Slauson and make left. And she can't communicate and explain to any one what is going on because she doesn't speak Spanish. Fortunately a gentleman who is bilingual was able to translate. On another note I  believe a driver should be able to communicate to the people of the line/area they are working.Update she made a u-ey at 40 something and long beach back to Vernon. We told her to go straight  to Pacific
11,1 star rating,"Aug 6, 2021",I'm at the bus 251 state and florence. 4:35 Bus never came. Is it on detour? Nothing on web site. No signs on pole. Can't call Metro cuz they're  closed. So thanks Metro for making me late for work. I  hope I don't get fired! Edit  5am bus came. Says freeway was closed. If there was an alert I could have taken an alternate route. Two other options. How hard to have an alert? On web site or app? I could possibly lose my job! BIG FAILURE METRO! Edit 2. Seriously! bus is on wrong street. I had to ask are you lost? No bus is on detour. Driver never informed us. Ppl ha to get off. We don't know which way hes going. Bus 8547 on Soto going north. Cant make this up.
12,1 star rating,"Sep 8, 2020",08/08/20 @14:20 bus #8544 route 251 didn't pull over just looked at me  and put his hands together like sorry? This after previous 251 dropped off people in the street and didn't pull over because red bus was in the way. Missed two buses in a row and now I've been on the streets an hour in this heat? Unacceptable!!! Who's here to watch the bus drivers  screw us over? Complaints do NOTHING.
13,1 star rating,"Jul 7, 2020",Bus driver pulls over a d doesn't tell anyone that she's broken down so we're waiting and waiting  and waiting untill someone asks her whsts up. And she's like I cant drive cuz mirror broke  The lady's like you couldn't tell some one. Like three buses passed us we could have taken. 4pm bus# 8601. This bus driver is a little off fyi.
14,1 star rating,"Jun 30, 2020",Rant for today. I'm on bus 1595. Metro offers usb connections under the seat on some buses but like the offered wifi it's not working. 10 thumbs down!
15,1 star rating,"Jun 19, 2020",I'm confused. Why are some buses making me come in the front and some the back? Even when I step to the back they only open the front door. It's bad enough the buses are so packed there are no seats and every one is touching each other cuz the front half the bus is literally tied up with the wheelchair straps. It's no wonder the hispanics have a high covid rate. Newsome check that! Btw some drivers ask for payment some don't. Which is it? 06/23 same 605 has ppl enter in front and tap is social distancing over?.
16,1 star rating,"May 22, 2020",20:00 05/2220. 750 did not stop or even slow down. Thanks for making me late.
17,1 star rating,"May 5, 2020","251 #8623 going south.05/05/20 4pm. Bus driver is not pulling close enough to the kerb. He""s making people get on and off in the gutter. Or hop to the kerb. The climb in is very high."
18,1 star rating,"Apr 20, 2020",I just got off the 251 Green line. I take this down Pacific left on florence. I looked up and I'm on Pacific in South gate. Is this a new route? I didn't get the memo. Please don't tell me she's lost? She continued  down Pacific after she confirmed verbally to me that yes she was the 251! Just after 7pm
19,1 star rating,"Sep 9, 2019",Metro 8567 route 251 green line didnt stop between  gage and zoe @16:50 Bus was NOT full!
20,1 star rating,"Aug 7, 2019",Metro bus line 60  bus#6969 @5:45 PM didnt stop at bus stop on Belgrave and Pacific. Stoped at red light though.  I can see into the bus and it is not full. Now I we (an old lady and I) have to wait an additional 30 min in this heat. Unacceptable! I hope the bus driver feels the two minutes she saved was worth it.
21,3 star rating,"Nov 26, 2018",Yay! Free internet! Boo! No access to Hulu!!!!!! 90%of my fav sites are blocked along with some fav tuberd
22,1 star rating,"Sep 7, 2023","TAP CARD DISCRIMNATION AGAIN.. SANTA MONICA STATION THIS TIME... we arrived at the santa monica  station and the metro wanna be police aka tap card crew were demanding tap cards from the riders... ok  lets see did you ask for the tap cards from the homeless bums with the garbage bags cigarettes .. which they are not supposed to be smoking.. waiting to ride around free while working people pay.. this is about the 100th time that I have seen this and when I spoke wit a metro employee on the platform.. they said "" of course the paying passengers get hasseled because the bums are no fun..."" will be filing with the Federal Dept of transportation.  Maybe if metro gets their free money restricted maybe they will start treating the riders that follow the rules and pay better than they treat the homeless. Just make it free or make everyone pay. its not that hard people...idiots!"
23,1 star rating,"Sep 6, 2023","Too rude, lack of knowledge unfriendly. I asked 20 times, no one tells where is a bus stop to airport. I went bacward bus drive scream at me when I was frantic, distressed. They only like rules ban/fibel ppl around."
24,1 star rating,"Apr 19, 2023",The bus from San Gabriel to Sierra Madre Villa ditched us at the bus stop and left us stranded in the freezing cold. A large group of us were huddled near the bus stop eagerly awaiting its arrival and watched with horror as the incompetent bus driver proceeded to drive past us into the distance and leave us in the dust. I'll give him the benefit of the doubt and assume that a seagull magically flew by the bus and somehow covered his peripherals. Even though it was late at night there is no excuse for us to be left there when there was a lamppost right next to us to illuminate our sad and forlorn faces. We were left to wait in a bubble tea shop nearby for the next bus which was almost one hour later: in sadness.
25,2 star rating,"May 28, 2023","People are let on without paying.  Everyone pays or no one pays. This should always be the rule.  This is how the homeless are boarding and making the bus an uncomfortable place.  Two days ago (posting this on May 28, 2023), the Metro board approved the agency's $9 billion fiscal year 2023-24 budget.  Thats $9 billion with a B.Shouldn't the bus be a better and safe place for everyone?  $9 billion.  What a joke."
26,2 star rating,,"The stations and trains have been taken over by vagrants, mentally ill and drug addicts. The trains are filthy and disgusting, with trash all over the place, on the floor and seats. There is no police presence, because according to progressives they ""intimidate"" riders, but presumably it is OK to be intimidated by vagrants, criminals and people in different stages of mental illness and addiction. LA metro is probably the best metaphor for the urban dystopia that Democratic-run cities have become. I would rate this service zero stars if I could."
27,Filter reviews by 1 star rating,,"The stations and trains have been taken over by vagrants, mentally ill and drug addicts. The trains are filthy and disgusting, with trash all over the place, on the floor and seats. There is no police presence, because according to progressives they ""intimidate"" riders, but presumably it is OK to be intimidated by vagrants, criminals and people in different stages of mental illness and addiction. LA metro is probably the best metaphor for the urban dystopia that Democratic-run cities have become. I would rate this service zero stars if I could."
28,1 star rating,"Mar 22, 2023","The stations and trains have been taken over by vagrants, mentally ill and drug addicts. The trains are filthy and disgusting, with trash all over the place, on the floor and seats. There is no police presence, because according to progressives they ""intimidate"" riders, but presumably it is OK to be intimidated by vagrants, criminals and people in different stages of mental illness and addiction. LA metro is probably the best metaphor for the urban dystopia that Democratic-run cities have become. I would rate this service zero stars if I could."
29,1 star rating,"Oct 30, 2022","I take the train everyday and, every stop has nothing but crackheads smoking on the train, vagrants, psychologically unstable patrons and, people trying to cause harm to others.There's NEVER any officers around when needed, and even in all stations, nothing is policed except for no riding bikes inside... but, walking around naked or, shooting up in the station must be ok because, I see it everyday! EVERY.DAY!!!I'd say, if you're taking the metro AT ANY TIME, make sure you wear a bulletproof vest, a gas mask and, have hand sanitizer, cause the LA Metro is NEVER tended to in benefit to riders and is JUST as dangerous as South Detroit.The way our politicians handle the metro, just shows how corrupt the city is, see how with ALLLLLLLL the money we pay in taxes, non of this should be happening. But it is so, that means NO ONE is doing their job! And we regular train riders have to suffer. I would advise no one to take the train.It's dangerousIt's grossAnd it's offensive that we pay for it TWICE and, nothing is being taken care of. Do not take the metro, IT'S HIGHLY DANGEROUS!!!!"
30,1 star rating,"Jul 16, 2023",They like to racially profile people and the bus drivers will call security guards on people that are literally doing nothing. I hope that minimum wage serves you well
31,1 star rating,"Feb 8, 2023",Very frastratingThe busses will skip their times!They really don't care.If you want to take a chance to wait anothr 30 minutes lol... take a bus
32,4 star rating,"Jun 21, 2022","Need more security, but overall, not bad.  Dirty, but not bad.  No problems.  Normal people riding.  Fine.  Don't expect to get your feet rubbed and you'll be ok.  It's a subway."
33,1 star rating,"Jun 24, 2023","Until recently I would have given the LA Metro System a much higher rating. My beef with them is their new Stored Value payment system for the buses & subway. I am a senior and for years I have been getting a monthly pass for unlimited use for $20 a month! The new Fare Capping system with stored value on your tap card is going to cost Seniors & the disabled who only ride the bus a few times a week MUCH MORE than the old $20 Monthly passes! Why would LA Metro want to add even more hardship to it's senior & disabled riders? IT REALLY SUCKS! Now, instead of the ease of adding my $20 for a pass at the beginning of the month I am going to have to keep an eye on my Stored value & if I run out of money ( which I do EVERY month trying to live on SS Retirement ) I will have no money left to ride the bus & be stranded. I would like to thank the IDIOTS at LA Metro for this added hardship to both the Senior & Disabled communities of the LA area. Inflation is already crushing us & now you just have to go and ruin it for us all even more. Why screw-up something that was working fine for us? Because, you obviously do not care even one minute iota about us seniors or disabled!"
34,1 star rating,"Jun 19, 2023","A good system to use as a taxpayer but maintain poorly from a sanitary perspective. After homeless people pee on the elevators, why not hire people to clean the elevators with a mop with bleach? Spent lots of money to build a Metro system and I do not see a cleaning person to maintain it for the taxpayer to use pleasantly. instead, it is used by homeless people for dumping their body secretions and sleeping. The urine smell in the elevator in the Wilshire and Western is worse than any third-world country public toilet, I do not understand where the taxpayer money goes."
35,1 star rating,"Jun 16, 2023","not wanting to drive downtown and then Chinatow. I figure, let's give it another go. after rush hour in the morning....,can't be to bad from north Hollywood. well, we did stop for a bit in the tunnel while "" authorities"" looked for someone???? ""hey if you see anyone  come in , let us know. how? like, KaKa..KaKa. well, on the way back, hmmm, forgeaboutet!‍"
36,1 star rating,"Nov 24, 2022",I had my tap card in my hand waving down the bus driver as they drove right pass me on the 76 bus heading downtown on Valley and Eastern. I am trying to get my things out of storage before they auction them off. Tonight is my last night. I've been doing this all day the past few days. I don't know anyone with a car so moving by bus is my only option.
37,1 star rating,"Jun 3, 2023",Worst metro ever trashiest people homeless crazy people absolute nightmare worst buses subway on earth no one helps no one knows anything buses don't show up buses don't stop gutter trash pathetic
38,1 star rating,"Apr 17, 2023",Worst metro in entire world! been on subways Paris london cities all over world with cleaner better subways. La is gutter trash no police no security obvious with recent stabbings. How disgusting make people ride with homeless crazy people smelly screaming psychotic lunatics. worst ever buses too always psychos screaming being crazy wtf is going on. Pathetic
39,1 star rating,"Oct 18, 2022","worst bus in world worst public transit in WORLD. the worst.  disgusting dirty no security filthy system.  homeless in buses homeless in stations, homeless on subway all over drug addicts mentally deranged people screaming acting crazy. today a homeless filthy dirty guy was on bus bleeding the evacuated bus and everyone was screwed for transportation. disgusting no security its the worst ever. whoever is in charge should be fired and thrown in jail,"
40,2 star rating,,"A mediocre service.  unsafe dirty full of homeless people and very, very little security.  where is all the money we pay to live in this city  We have to do something  about  it We need to take away  this transportation from the homeless and make usefull for the people that, will solve the trafic problem in this city"
41,Filter reviews by 1 star rating,,"A mediocre service.  unsafe dirty full of homeless people and very, very little security.  where is all the money we pay to live in this city  We have to do something  about  it We need to take away  this transportation from the homeless and make usefull for the people that, will solve the trafic problem in this city"
42,2 star rating,"Mar 15, 2022","A mediocre service.  unsafe dirty full of homeless people and very, very little security.  where is all the money we pay to live in this city  We have to do something  about  it We need to take away  this transportation from the homeless and make usefull for the people that, will solve the trafic problem in this city"
43,1 star rating,"Jan 16, 2023","100% unsafe to ride the metro subway. I rode the purple line. People were actively using drugs in the seat next to me. I moved to a different subway car, and a man high on drugs pulls out a dagger and starts having a violent fit, stabbing his backpack repeatedly and swinging the knife around violently. YOU ARE RISKING YOUR LIFE OR SERIOIS BODILY INJURY when you ride. Elitist Politicians should get out of their limo and ride the metro for a week."
44,1 star rating,"May 18, 2022","This is a general review of the LA Metro, and I'm sure it's unsurprising, as it's a negative one. I've been riding it on/off since I've moved here in 2012 and I can't tell you how many times I've been let down by the unreliable system. From public safety issues to trains/buses being late or completely never showing up, it's awful. It's affordable, which I'll give credit for, but it's inconsistently truly drags down the system overall. I couldn't imagine commuting via public transit to work every day in LA. Depending on where you're at, you'd need to plan 2-3 hours MINIMUM to even make it to your destination on time. Don't be surprised, however, if you plan way ahead and still end up late to your destination."
45,1 star rating,"Jun 25, 2022","Buses are never on time, there's no such thing as a schedule and if you live in a black or Latino community, good luck. All for automobiles to increase our chances of cancer..."
46,1 star rating,"Jan 25, 2023","I rode the Metro Green/C line for many years. It had its issues but was efficient. After returning to riding the train in recent months, I was shocked at the decline in security and cleanliness. Transients take over a lot of space on the trains and inhabit the stations. I was ""treated"" to a screaming fit by an unstable woman who was halfway across the car for being ""too close."" I've been stalked and harassed; people regularly smoke marijuana and other things on platforms and in the trains with no consequences. The final straw was getting a parking ticket that Metro refuses to dismiss on a technicality even though I paid the fee. Continuing to fight it would cost me more money. I'd rather put my money into paying for gas instead of continuing to compromise my safety, sanity and dignity by riding Metro."
47,1 star rating,"Sep 27, 2022","Horrible, they have busses with different routes and the same number now sure you should look at where it says its going but I shouldn't have to do so. Should see the number and get on cause that should be it, only an infant would have two different routes have the same number. Fucking retards at metro need to fix this old ass numbering system. And bus was delayed an hour then came at the same time as the other route with the same number so I got on the wrong bus and messed up my day and had to walk 3 hours home. Should no longer exist till they cane create a number system that's better."
48,1 star rating,"Jan 28, 2022","I ride the 110 daily to and from work. It's never on time. This bus literally comes at a different time everyday. I asked the bus driver what is the official time the bus is scheduled to arrive. His answer was ""what does it say on the internet. I have missed this bus because it was 5-10 minutes EARLY. Then late to work because the following bus driver drove ridiculously slow. Sundays, sometimes the bus doesn't come at all. I've called customer support and I was told ""the bus is on time but it's a little behind schedule."" Your service is atrocious and some of your drivers have no people skills. Asking a question shouldn't result in me being asked to get off the bus or the police will be called and I paid. If I could give u 0 stars I would. Can't wait for my car to be fixed."
49,4 star rating,"Feb 1, 2020","Excellent transportation system that I think should keep  expanding, really helps with the traffic and pollution if everyone tries their best to commute on public transportation. First of all, it's cheap, it currently connects to many major hubs, they have weekend passes for $10 unlimited rides on all metro transports; buses, trams, trains, subways. If you're looking to explore LA, go on the weekends, it's not busy at all.Although the bathrooms on the train is kept in good conditions, I still recommend checking toilet paper, trash bin more frequently."
50,2 star rating,"Jul 28, 2022","This bus was going through a red light honking at me to go , when he should not be going through  a red light , especially  carrying passengers,  very unsafe,  bus # 8242 on Thursday at 9:40 @m , Your bus drivers need to follow the rules of the law "" ....and stop this kind of driving "" ..."
51,1 star rating,"Feb 28, 2022","Down town Las Angeles BUS NUMBER 45 CORNER OF TEMPLE & SPRING BUS OPERATER NUMBER # 1IN her window Monday FEB -28 - 2022             She this African / AMERICAN short , old lady , driving the bus , at 7:36 pm in this intersection              I was standing in plain sight at the bus stop why did you not pick me up for a ride threw down town this evening        I was the guy holding the super market bag , at 6 foot 3 inches tall 2 hundred 65 pounds you did not even acknowledge me          If you have anger or other issues don't work as a bus OPERATER if I know who is your Boss I would convince the boss to terminate you bus driver number 1 in the window driving bus number 45        Your behavior is unbelievable you must pick up passengers at all bus stops even if you have a lot on your mind your obviously getting paid to pick up all passengers whether it pleases you at the time of not          You will not be racist , biased , prejudice nor selfish to your customers            I wish to use profanity words right now to you, but I will keep it professional & bite down on my Tung             To this bus driver , OPERATER you did something very not nice this afternoon to me & maybe others         I wish for you not to work as a bus driver any longer after today bus OPERATER number 1 in the front window I am calling 1-800- go - metro"
52,2 star rating,,"I rarely compliment anyone who works for the government in LA or California, because I generally consider our government really bad compared to other states.  But last week, I saw a Metro operator save a young man's life right in front of my eyes.  The man fell onto the train tracks as the subway train was pulling into the Hollywood/Highland station.  The train was probably about 5 seconds away from hitting him.  All of us waiting in the station started to gasp and were trying to figure out what to do.  I felt my heart sink and honestly thought for sure that this young man was going to die in a very gruesome way in front of a lot of people.  But thank God the operator was super fast in pulling the emergency stop and halted the train probably within a couple seconds of hitting the guy.  The guy jumped up off the tracks and was very shaken and scuffed up, but alive.  To the operator that day:  Thank you for being a hero and being so on the ball."
53,Filter reviews by 1 star rating,,"I rarely compliment anyone who works for the government in LA or California, because I generally consider our government really bad compared to other states.  But last week, I saw a Metro operator save a young man's life right in front of my eyes.  The man fell onto the train tracks as the subway train was pulling into the Hollywood/Highland station.  The train was probably about 5 seconds away from hitting him.  All of us waiting in the station started to gasp and were trying to figure out what to do.  I felt my heart sink and honestly thought for sure that this young man was going to die in a very gruesome way in front of a lot of people.  But thank God the operator was super fast in pulling the emergency stop and halted the train probably within a couple seconds of hitting the guy.  The guy jumped up off the tracks and was very shaken and scuffed up, but alive.  To the operator that day:  Thank you for being a hero and being so on the ball."
54,5 star rating,"Jun 2, 2022","I rarely compliment anyone who works for the government in LA or California, because I generally consider our government really bad compared to other states.  But last week, I saw a Metro operator save a young man's life right in front of my eyes.  The man fell onto the train tracks as the subway train was pulling into the Hollywood/Highland station.  The train was probably about 5 seconds away from hitting him.  All of us waiting in the station started to gasp and were trying to figure out what to do.  I felt my heart sink and honestly thought for sure that this young man was going to die in a very gruesome way in front of a lot of people.  But thank God the operator was super fast in pulling the emergency stop and halted the train probably within a couple seconds of hitting the guy.  The guy jumped up off the tracks and was very shaken and scuffed up, but alive.  To the operator that day:  Thank you for being a hero and being so on the ball."
55,1 star rating,"Jan 12, 2023","Never took the red line but as far as all other metro Buses.... Insanely Dirty, smells like Pee and Poop and it is literally the place where the Homeless go at night. I work Graveyard and take my bus route one way is about 1.5 hours. These bus drivers literally sit and drive all day, get paid well, receive good benefits/retirement etc. These Drivers for the Most part are so disrespectful, they don't wait if even stop at all, I've literally started slapping the side of a bus one time cursing like hello why aren't you stopping, can you not see me? And your still not gonna stop? I've been late to work on many occasions and So I've called to make a couple complaints throughout my rides, they act like they're taking what you say seriously and doing something, other times I've been hung up on, I can go on and on about metro!!!! I'll tell you this, whoever makes a newer/ Improved ""Metro"" Company, ""EV Buses/ 1 security guard per bus, and not some Paul blart Guard./ have to pay to board and not sneak on/sleep on/smoke cigarettes out the window.... I'm so over Metro, getting ready to look for a new job or just freeze myself till 2050, so tired of this nasty, careless world"
56,1 star rating,"Nov 20, 2018",Mongo no like bus. Bus always late. Mongo give schedule to driver. Driver no happy. Mongo send schedule to Metro. No hear back from Metro. Yet...Mongo feel like sing...Mongo on the BusMongo at bus stop and Mongo waitWait wait waitWait wait waitMongo at bus stop and Mongo waitSo early in the morningMongo get fired if Mongo late againLate againLate againMongo get fired if Mongo late againWhere's the friggin bus?Mongo see bus but bus don't stopBus don't stopBus don't stopMongo see bus but bus don't stopDriver no see Mongo?Mongo on next bus but driver take a breakTake a breakTake a breakMongo on next bus but driver take a breakDriver smoke three cigarettes!Mongo finally get to workGet to workGet to workMongo finally get to workBoss said Mongo fired!Mongo back outside and wait for busWait for busWait for busMongo back outside and wait for busMongo gonna smack the driver!(mic drop)
57,1 star rating,"Apr 25, 2022",Any and all reviews you see with negative comments are not an exaggeration. They are all true. Proceed with no expectations.
58,1 star rating,"Sep 22, 2021",This company is just the worst and shouldn't exist. Buses never show and if you need to catch more than one bus you are royally screwed
59,2 star rating,"Dec 3, 2018","I wanted to leave a public comment on what is perhaps a glaring oversight of Metro Los Angeles. If you look at the public transit rail system for Southern California, there is a place in Santa Fe Springs/Norwalk where they should have combined the LA Metrorail Green line station at Hoxie Avenue, Norwalk with the Amtrak station on Imperial Hwy to allow people from San Diego County and Orange County to access LAX and the LA Metrorail with better ease. If you look at a map (picture uploaded to this review), the stations are 10 minutes away from each other. Given this glaring oversight, at the very least, there needs to be another Green Line station at this Amtrak station to combine the public railway systems. It's a no-brainer that would have been done decades ago in any European country."
60,2 star rating,"Aug 27, 2021","I came to this place of business fir a job opportunity! My hopes of working here was blown into pieces due to the instructors have their 'favorite ' students they want to push FORWARD in the classroom.  If you are VERY outspoken or very outgoing,  they don't want to deal with you! Well the TWO male instructors I had were like that and they were racists against afro American women.  I would suggest you do your homework on this company BEFORE  applying to it. The senority will also talk about you and find someway to degrade you amongst their 'crew'!! Being trained by this company is like being in a hazing for a  sorority! Just being honest"
61,1 star rating,"Jun 21, 2021",Y'all are the biggest joke of a metro system I have ever come across. You'd get to where you're trying to go faster if you'd just crawl.
62,1 star rating,"Jan 21, 2021","I've traveled and worked all over the world. I've never posted on the Metro bus system although I've ridden it on multiple occasions. I'm just too exhausted and demoralized after each ride. The bus system is so wracked with inconvenient routes, long waits for transfers, and the worst punctuality for schedule keeping, even compared to impoverished developing nations. The Swiss and Japanese bus systems aren't in Metro's aspirations. The NYC bus system is light years ahead of you, Metro."
63,1 star rating,"Jan 6, 2020","How is anyone even giving this two stars? Is it that same mentality that is indicative of ""you have a beating heart"" followed by a trophy for breathing and ""here are your accolades for involuntary respiration!!! Keep up the good work!"" There is literally no excuse for the subpar public transportation in Los Angeles, the second largest city in the United States. If Los Angeles can create movies that make Scarlett Johansson look like she can act, then we should be able to expect more from our public transportation than what we have currently. Honestly, even gophers are better at this than we are. So are earthworms. And they don't even have eyeballs. Getting from Point A to Point B need not involve ten switchovers with imbecilic waiting times. Also important: the 5:1 ratio between the severely unhinged commuters and the rest of us, i.e. the marginally mentally ill commuters that keep hoping today will be different when we look at the Metro's time schedule and expect it to be only *slightly* incorrect. If more expansive cities that are ten times the size of LA can figure out how to efficiently and semi-safely whoosh millions of people around the various regions of a metropolitan area, so should and can LA."
64,2 star rating,,This is is forever late and to top it off the bus driver is lit walking the bus. You need to do better bus line number 130 #1545i wouldnt even give it 1 start but it's the only way I can submit my review
65,Filter reviews by 1 star rating,,This is is forever late and to top it off the bus driver is lit walking the bus. You need to do better bus line number 130 #1545i wouldnt even give it 1 start but it's the only way I can submit my review
66,1 star rating,"May 13, 2021",This is is forever late and to top it off the bus driver is lit walking the bus. You need to do better bus line number 130 #1545i wouldnt even give it 1 start but it's the only way I can submit my review
67,1 star rating,"May 12, 2021",The metro 130 is always late and never comes on time ever! I dont understand how I can be on time with the schedule but the bus cant
68,4 star rating,"Feb 4, 2018","Overall for such a large transit system Metro isn't to bad. As for the bus, you can take the local which are the orange busses. If you are able to take the Rapid which are red use it. They have much fewer stops. Make sure your stop is one they use.The Red and Purple lines can be pretty ghetto. It smells of homelessness. Several homeless spend the entire day on the trains sleeping until they get kicked off. They will just board another car. You might have a musician on your car playing for donations. If you hear bells jingling then Incense man is aboard selling his stinky incense. Well at least it smells better than the homeless. I've only been on the Green line a couple times but its ghetto. Not as bad as Red and Purple but still ghetto. Blue and Expo aren't to bad. They have more vendors than any line I've been on. One was even selling beer. Expo is nicer of the two with newer cars.Gold is the nicest of them all. The cars are new and clean. I haven't seen bums or vendors yet. We all know L.A. traffic. sometimes it's so bad your bus may run behind schedule. There may be back to back busses due to the later bus catching up with yours. It's a big city so it doesn't bother me."
69,1 star rating,"Mar 24, 2019","The Metro rail system in Los Angeles started as a good idea.  It has turned into one giant piece of human excrement..LITERALLY.  Human excrement everywhere, on all trains.  Take a swab of the seats and have it analyzed.  Ecoli galore.  That means ""caca.""  Yes, ""caca"" on the seats and handles.  ""Caca"" in the vending machines where your change comes out.   One dark, giant underground wormhole of sickness.  I'll wait 4 hours in traffic before I subject my body to the disease, danger, filth and craziness that is the Metro rail system.And cities in the eastern part of Los Angeles County want this in their community?  ""SAY 'NO' TO METRO"""
70,1 star rating,"Dec 16, 2021","I just got off the 266 bus and when I got on the bus driver yelled at the top of her lungs for no reason just because when I got on I went through the back door. I just moved to LA back in June and I thought people were supposed to be nice and professional. Anyway, these past six months I've been riding the bus and all the other drivers said go through the back. I'm not asking for an apology, because humans like her don't do that. However, can she be injected with Covid and crucified upside down like St. Peter before she's fired and living on the streets? That would be very greatly appreciated. Have a Merry Christmas and Happy New Year."
71,1 star rating,"Dec 4, 2014","[Review #115; Metro Comment #7117]Hey Metro! Get your drivers trained on safe driving!!! I was on my way to work & was nearly crushed by one of your damn drivers; license plate: 1288771.On Thursday, 12/04/14, 7:50 AM, I was heading east on the slow lane on Wilshire Blvd. (having just exited the 405 N), your driver was slightly behind me in the lane to my left when we pulled to a stop just before the corner of Wilshire Blvd. & Midvale Ave. S/he pulls almost parallel as we pass the intersection, then swerves into my lane between Midvale Ave. & Westwood Blvd. WTF!!!While blasting my horn, s/he kept driving into my lane, & I slammed on my brakes & drove up partially onto the driveway/sidewalk... luckily there were no pedestrians. I could have been seriously injured or killed! I was not in this driver's blind spot as my hood was partially in line/view of the front exit's glass doors.I always avoid driving near trucks, buses, or other large vehicles because I generally feel they are aggressive/careless drivers. I generally give them leeway when they need to merge into my lane, but this STUPID driver did not signal until after s/he was partially into my lane.Go back to driver's ed & get some training, or get some sleep so you don't cause accidents!! Instead of ""passing with caution,"" HOW ABOUT YOU DRIVE WITH CAUTION!?!?!!!!"
72,4 star rating,"Feb 28, 2017","I am a fan of the subway since it bypasses the traffic jams in LA.    For about $8/day you can get a day pass that takes you everywhere the metro lines take you. We started in Hollywood and went to downtown, Chinatown, Koreatown, Santa Monica and West Hollywood....easy, convenient and clean.During peak hours, the trains run every 6 minutes or so...during off peak hours, they run every 12 minutes...still a great way to get around the large sprawling city of LA."
73,1 star rating,"Aug 17, 2021","There's doing this new thing where they send their drivers to drive the routes in a regular car and not pick anyone up. Shows on Maps the bus is coming , it even stops at certain stops , but no , it's a driver in a regular car making you think it's coming just to drive past you and you sit looking dumb , forever."
74,1 star rating,"Jan 8, 2019",The worst! Frequently late and neither the drivers nor the information are any help whatsoever. They seem to hire operators who are too stupid to clean toilets. They have no conception of time and only show up whenever.Buy a car.
75,1 star rating,"May 13, 2018","The bus drivers are sooooooooo unfriendly. They don't smile, act like they don't want to answer any questions and will respond to ""yes and no"" questions with head nods. Like seriously!!!!....my mistake for bothering y'all on the public transportation. Didn't want to deal with hectic downtown parking while visiting the Orpeum theater, so we took the bus. It was 2 police officers on the bus as well. One standing in the front, and one standing in the back. I guess it gets that dangerous on the buses that police officers need to ride!!"
