,Rating,Date,Review
36,1,"Dec 5, 2019","This review is directed to the customer relations department, which most likely does not exist!?! All Metro bus drivers need to take a course on customer service, 98% of the bus drivers are extremely rude non responsive to questions concerns for the comfort of their passengers. And especially to our  vacationers that come to visit this beautiful, rich in culture and history historical Tri-State of our nation's Capital...Now for reading maps and Street pole postings of bus stop, this needs a revamp aswell.  the majority of bus stop poles that indicate the bus number need to also indicate the direction in which one is traveling when you get to the bus stop. one is not sure if it's across the street or in the same direction to continue traveling to the Final Destination. most bus drivers when you ask them of a specific stop on their route they don't know, in most cases they just go by landmarks and  in extreme cases they're very rude and ask you if you know how to read . They say to read the labeled at the front of the bus or they'll just look you up and down and wont say a word to you.Just a little frustrated. I'm rambling but nonetheless it's a huge concern for those of us that commute with wmata please be more compassionate and informative to our traveling needs... thank you I hope improvements of customer service come soon..."
37,1,"Nov 29, 2018","Expect severe delays, broken escalators, overcrowding, unexpected and abrupt stops, and unhappy faces. Be ready to pay large sums for the worst part of your day."
38,1,"Aug 20, 2019","I was taking the 25B (2962) via vadorn. The driver was standing outside talking in her phone. The bus displayed no sign of the line. When I was trying to ask her about the bus number.. she keeps ignoring me and talking in the phone. More people start coming and waiting while the driver keeps ignoring everybody. When I asked her for the second time, she turned to me and said "" don't you see that I am in the phone"" then she went back again..."
39,1,"Jan 5, 2017",Tourists should beware of the metro.You sometimes wait over 10 minutes for a train.Sometimes your train stalls and makes you over 30 minutes late.The speaker system is tinny and loud and the Metro employees natter on incessantly about their collapsing system and which piece is down that day.If you need an escalator or elevator for luggage or a bike chances are it will broken down at one end of your trip.If you have to go very far or can't always wait until after rush hour it is going to be $4 each way.  Not sustainable if you are planning to use it 5 days a week to go to work.  Sharing an Uber may be cheaper.The system is often dirty so careful what you touch.Violent teenagers and raving racists and lunatics are not uncommon.
40,1,"Oct 5, 2019","Yellow line train suddenly changed to a Blue line train when it wasn't even on a Blue line station ( Archives station) makes no sense, and they didn't give folks a chance to get off."
41,1,"Aug 17, 2016","Zero stars. ZEROThis system is lunacy.Buy a car.If you need to feel environmentally considerate, buy a prius."
44,3,"Feb 21, 2014","Don't get me wrong - I love the DC Metro system. It goes to lots of places (and misses tons of places, too). It's cheap enough with a $14 day pass. There are a few cities I've visited where you can walk out of the airport and immediately get on a subway train to downtown - Minneapolis, London, Atlanta, Chicago. And there are several world class cities that do NOT have a subway system hooked right up to their airport - New York and Montreal for instance.It's great because it will get you pretty close to nearly all of the major tourist destinations with a few exceptions. The Lincoln Memorial is probably the furthest.The Metro stations I've experienced have usually been quite clean with very little trash or litter and I don't recall seeing any real graffiti indoors. The trains as well are clean and reasonably comfortable and they're surprisingly quiet (compared to New York and London!). And it's cool that the same trains are used on all lines throughout the system.Strangely, the start of operations on weekends is SEVEN AM. That's just crazy! And really irritating for someone who had an 8AM departure out of DCA. Ugh."
45,1,"Dec 22, 2016","Not sure if WMATA would be supportive of customers attending  the inauguration. Perhaps WMATA needs assistance also on how to plan, organize ,  and expedite production of  user friendly cards?"
46,1,"Apr 21, 2018","Worst service I've ever encountered in my whole entire life please use Uber, Lyft, or via when in dc this service is soul crushingly inadequate"
47,1,"Dec 21, 2015","Two stars...that's just too generous!!!! It looks like I have to rate metro at least one star to write a review and that's just wrong! Metro is more of a negative rating experience and has been for a long time with no improvement in sight! Why I continue to to use it shows the general problem...no options.  Guaranteed money leaves them without any motivation to change.Today's particular issue...signals issues at Roslyn. Multiple minor delays to get to the station which would typically be great luck for metro but of course you get into Roslyn just time to see the doors on the next train you need shut. Oh, and the train going in your direction 20 minutes later! Why the hell wouldn't they delay that train 30 seconds to let people on the train arriving board it knowing the delays. They just don't care about the riders. But more importantly why is the next train 20 minutes?The bottom line if you need to be somewhere metro is not a smart option unless you have all day to get there and you best be praying."
48,1,"Jun 5, 2018","The worst ever. You used to be decent in the early 2000's what happened to you? Smh. Thankfully my job pays for you. If not I'd catch uber. I'm either early or late thanks to you. Never right on time. My life...now, as gas prices rise you might see me a little more often. But geez. Am I really prepared? Probably not."
49,2,"Jul 7, 2020",Wow! I just want to live! There are so many people on these trains with their mask under their chin or none at all( including police officers). People can become so free until they are stupid! When stage ll arrives they are in trouble. You would be able to move into houses like The Walking Dead! Just pick a house and move in.
50,1,"Apr 13, 2018",Smart trip web portal is very bad user interface. Seriously bad.
51,1,"Aug 18, 2015","I just want a public transportation system that isn't on fire.  Is that too much to ask?When I first moved to DC in 2006, WMATA was a great way to get from Point A to Point B in a reasonable amount of time.  Over the past 9 years, it has gone downhill.  It is no longer reliable, and safety is a major concern.  I've been late for work at least once a week since 2015 started due to WMATA's incompetence."
52,2,"Jan 2, 2019","Since my '17 review, a lot on Metro has improved. Better headway adherence, automatic door openings, a vow to restore ATC this year, less fires and a higher MDBF. The last one can be attributed to the least reliable railcars being retired. The 7000s now make less noise because of a modification to the trucks--they weren't built to spec. Most problems are from the 7000s having manufacturing and design issues, but as of now, they are doing very well, beating out the 6Ks to the top. They will get rid of the 2 and 3Ks, which will probably bring up reliability, though I personally don't like the 7Ks or the 8K render. The 2/3Ks are the best in the system. Comfy seats, laid back lighting and big windows. 6Ks are similar. This won't hurt my star rating, though."
53,1,"Aug 4, 2017","Look. WMATA has worsend service, raised fares and cut costs. All on June 25. Also, please, tourists stop praising WMATA for being clean. It might be, at times nicer then the NYCT Subway, but at it's core with things like service it is clear that the NYCT Subway is better. The NYCT Subway may have de-railed 2 times in a month, but they haven't killed anyone in recent years. (Unlike WMATA Metrorail who has killed 9 riders since 2009, 1 worker who could not have prevented the 2009 crash, due to WMATAs lack of safety culture, including falsified logs that led to the death of a rider in 2015). Also, keep an eye out for WMATA hot cars and bad areas, as both can be deadly."
54,1,"Jun 28, 2018","Welcome to DC, where the WMATA charges you extra money to commute during normal commuting hours, where your round trip subway fare can actually cost $10, where you take the subway and they don't even use full sized trains during rush hour so you cannot get on the train, where you have to allocate your employer transportation funds over 10 days before the end of the month because this city can't seem to get its shit together enough to live in the 21st century where you can buy monthly passes on the fly. I hate the WMATA. They are useless and a waste of money and their customer service is the absolute worst I have ever dealt with. I had never been so angry at a public transit system. NYC is 5000x better that the POS agency."
57,1,"Jul 10, 2018","Love when the online schedule lies and I wait 40 minutes for a train that doesn't come and have to catch a different train to ""close"" to where I want to go and Uber the rest of the way. Terrible infrastructure. Terrible workers. Terrible nation's Capital transit system. Arrived in a station at 10:45 when the trains stop at 11:30 and the silver line never came.... maybe trump should build a better system for his own people before he builds a wall...."
58,1,"Oct 22, 2018",It's like the mission statement at metro is to find ways to make people hate it more.Just wish they can stop with the schedule readjustments and holding of the trains...like they want you to miss your bus.
59,1,"May 26, 2018","Your system sucks. You disappoint people every day. You piss off people every minute. Your workers are sullen and distracted and your infrastructure is failing. Do you give a toss, or is your horribly bad service simply business as usual?"
60,1,"May 10, 2015","The convenience of traveling around the D.C. area on the WMATA Metro train is greatly outweighed by the constant delays and regular fare increases. I began writing this review yesterday as we were waiting for nearly 15 minutes at Braddock Road without an announcement for why we were just sitting there so long with the doors open. I am finishing this review currently sitting on a train at King Street (about 10 minutes now); but they have at least been polite enough today to announce that the delay is currently caused by single-tracking due to maintenance. Yesterday we left the train and just grabbed a cab to get into the city. I will still use WMATA because it is still the easiest way to get into D.C. I will always dread having to use it,  because it is a headache 9 times or of 10. It doesn't appear that the situation will get better any time soon, as we are always hearing about budget and management issues. All I can say is GOOD LUCK to all riders of the Metro!"
61,1,"Jan 13, 2015","The D.C. Metro is a complete wreck: regular delays, overcrowding, dirty stations, no A/C in the summer, etc.I avoid it at all costs when I am in D.C.. Instead, I walk of use the D.C. Circulator"
62,1,"Jan 23, 2020","I am literally sitting on the train as I write this review. If the traffic wasn't terrible in this area I would drive. WMATA service is terrible! Train service is unreliable, customer service is unprofessional and a waste of time. If I could give them zero stars that would be more appropriate."
63,1,"May 16, 2017","Charging me $8.60 for parking because i got off at bethesda instead of my usual Grosvenor and walked to get my car! this is rediciulous! If we checked in and out at least once, WHY DOES IT MATTER IF WE GET BACK ON THE SAME STOP. They have a monopoly on the public transit system and still can't manage their finances correctly so they resort to gauging customers."
64,1,"May 6, 2017",Good God this system is horrible? Maybe I'm just used to Boston but do these D.C. trains ever run on time? No wonder everyone in D.C. works on flex time! There's no choice but to do it that way. The station managers are generally rude and ignorant people.
65,1,"Feb 15, 2017","I never thought I'd rate the metro, but here I am.Honest to God, this is one of the least efficient, most expensive, and overall worst public transportation systems I have witnessed. Growing up I've had the chance to use the Moscow metro (amazing), Paris (alright), Vienna, Prague, Munich, Berlin, and a few domestically like Chicago, Boston, and New York (amazing). WMATA very unfortunately pales in comparison with all of them. There are some pluses to it, but the negatives outweigh it for the most part.Cons:-Bus schedules are inaccurate and oftentimes late, and sometimes don't even come at all for no announced reason-Long wait times outside of rush hour (and decently long during rush hour occasionally too)-Very expensive fare structure (dependent on whether it is rush hour or not [which are very long periods], and the distance of the trip that you're taking)-Occasionally rude employees (I personally haven't had a problem with this)-Severe lack of competent management-Inefficient ownership/operation structure (different counties in 3 different states each have influence over the system, as well as influence form the federal government)-Boring architecture. Despite what the rest of America thinks, I don't like the brutalist concrete. Makes it look Soviet, which is ironic when you look at how the Moscow metro looks-No reliable access to the main international airport (Dulles). This is unheard of for a major city, and frankly embarrassing-Numerous safety issues (outdated technology, somewhat frequent malfunctions and occasional crashes, other major disruptions like safetrack)-Lack of dedicated funding-Confusing fare passes (28 day metro pass?)-Closing at midnight everyday for the foreseeable futurePros:-SmartTrip card paperless payment system-Somewhat convenient locations-Decent bus routes (D6 particularly great imo)-That's really about it honestlyOverall, despite being the second-busiest public transportation system in the country, WMATA is very poorly equipped to handle such a large flow of people consistently and efficiently. The safety issues are particularly pressing for the time being, but I think that the management and funding issues are overarching and will have to be addressed sooner rather than later so that going forward WMATA can be more beneficial and run smoothly."
66,1,"Mar 23, 2017","I have been taking the bus every day to and from work for over a year and let me tell you, it is the worst. Sometimes buses that aren't full will pass you by for seemingly no reason, which is infuriating. The bus I take to work is so poorly timed. It is supposed to come every 8 minutes. Instead, I see two buses right behind each other pull up almost every morning (of course I'm still two blocks away at this point and can't get there in time to catch it. I swear it's just like that episode of SpongeBob where they left bikini bottom and the bus would sneak past every time they werent looking). This double bus situation means that there won't be another bus for 16-20 minutes. I have sent wmata emails before but of course that was fruitless. I never expected anything else. With Uber and Lyft these days, it's also sometimes easier and cheaper to pool rather than really on this piece of garbage DC calls a Transit system. It's no wonder they are losing money. It's nothing short of what they deserve.Original post: passed by a bus 3/23/17Update: I think I'm just going to start keeping a running tally here of every time a bus passes me by accompanied by the date. 4/4/1710/2 bus was not full and it did not stop even after I waved my arms vigorously. Sigh. Well I went about 6 months without documenting a case on here. Honestly, because I forgot. There have definitely been more times."
69,1,"Dec 15, 2019","Unreliable and dirty.  Did I say unreliable?  Oh, and don't depend on the online or platform messaging to know if the train is on time.  That is also UNRELIABLE!  So if you're trying to go somewhere and actually be on time and you're using metro leave 2 hours before your arrival time.  YOU CAN NOT DEPEND ON METRO SCHEDULES!!"
70,3,"Jun 10, 2014","Summary: it gets you where You need to go and is better than driving during rush hour, but can be lengthy wait times in evenings and with transfers. The DC metro system has it's ups and downs. And I'm not talking about the huge escalator heights at DuPont Circle or Bethesda. It's nice during rush hour for those of us not going on the most common and sardine'ed routes, and it will pick you up directly from DCA airport which is great. The problem is when it doesn't work, has major delays, and ""routine track work"". If they are going to close the subway of a major metropolitan area in the evenings, at 12am - 5 am Sun-Thursday, I would hope they could use some of this time to fix the issues. A few general statistics-trains are clean-prices are overpriced for public transportation-the trains are packed and run often during rush hour-trains have fairly comfortable seating-pretty good station proximities within dc proper-90% of the time comfortable tempatures-and oh hell, I hate when you miss a 9pm train by 15 seconds and have to wait 20-30 for the next one I'll keep riding, but there is a lot of room for improvement. They could start by hiring competent drivers that don't close the doors on patrons and know how to properly use the one thing they should be trained to use (brakes)."
71,1,"Aug 15, 2016","Smartrip card charge of $38 for 7 day pass did not work. Had a pile of folks log jammed behind me as I tried to get through gate. Had to add $10 in regular fare charges before I could get through. Called ""customer service"", explained my situation and got a big fat ZERO in terms of refund even though they could see I never once used the pass (BECAUSE IT DIDN'T WORK). But they took my money nevertheless. YOU SUCK DC METRO!"
72,1,"Apr 20, 2015","If you like paying money to be inconvenienced AND have your time squandered, then metro is for you. If you have any other transportation options available to you, then I highly recommend taking that instead of either the buses or trains. Life is too short to use WMATA."
73,2,"Oct 11, 2019","With metro,  it's always retro steps forward and three steps back.  Jackasses that drive the buses care more about taking extended breaks that customer service."
